Normalized_Weather,Severity,accident_count,avg_Severity,avg_Start_Lat,avg_Start_Lng,avg_Distance(mi),avg_Temperature(F),avg_Wind_Chill(F),avg_Humidity(%),avg_Pressure(in),avg_Visibility(mi),avg_Wind_Speed(mph),avg_Precipitation(in),avg_day_of_week_num,avg_duration_minutes,count_true_Amenity,count_true_Bump,count_true_Crossing,count_true_Give_Way,count_true_Junction,count_true_No_Exit,count_true_Railway,count_true_Roundabout,count_true_Station,count_true_Stop,count_true_Traffic_Calming,count_true_Traffic_Signal,count_true_Turning_Loop,count_true_rush_hour,count_true_twilight
Snow,3,25966,3.0,41.61677667072325,-87.84256225028889,0.9445345462731536,24.570562837316885,14.674368187323381,85.29391344596158,29.36536475394042,2.816994096994482,11.105886387476804,0.011731560066497462,3.942309173534622,69.89594726437137,57,3,707,46,2332,35,89,0,150,91,12,1099,0,10780,0
Freezing Rain,3,1587,3.0,40.54678478323882,-86.02856399117832,1.0704146184391696,28.58604797979797,19.75524017467249,89.18848829854522,29.963491461100574,3.692893240682249,10.877761627906978,0.03291159772911599,3.6351606805293004,61.197227473219904,1,0,37,4,172,2,3,1,3,8,0,66,0,689,0
Dust/Sand,2,710,2.0,34.72701841469359,-109.54905689284257,0.5410492959224004,69.25722543352602,68.66952714535903,23.121387283236995,28.45165697674419,6.6322048364153625,22.10085592011412,7.763401109057302E-4,3.992957746478873,140.17023474178404,6,0,68,1,46,3,5,0,10,17,0,139,0,273,0
Thunderstorm,1,974,1.0,34.13464659856263,-86.04449972279262,0.19703182743768183,74.76817248459959,74.71547248182762,81.0422245108136,29.35560574948665,6.812178828365878,9.463016528925621,0.12989711934156378,4.245379876796714,45.52185147159482,13,1,211,7,37,4,18,0,28,33,1,331,0,741,0
Ice Pellets,3,159,3.0,40.077333245283015,-78.29872917610064,0.9707232702828053,31.943396226415093,23.34675324675325,86.95597484276729,29.960955414012744,3.745283018867925,11.92142857142857,0.04198529411764705,3.559748427672956,72.27526205450737,0,0,2,1,15,1,2,0,1,1,0,6,0,60,0
Clear,4,87270,4.0,37.44375303641089,-89.58489056667705,1.442536816780606,60.33181996086104,57.80755465762322,58.79924630933586,29.388188538892447,9.887312195627395,6.7469703809595485,3.2634353156869487E-4,4.032932279133723,1923.300907146403,824,10,5739,457,7955,152,663,4,1093,2627,46,8696,0,27668,0
Clear,1,35054,1.0,35.17423332675301,-97.17355064223771,0.08979214928605808,74.51153890357428,74.43712286838655,54.82316195520755,29.141311573717115,9.878995799159833,6.728398512925445,1.0070177440520341E-4,4.0494094825126945,46.90162939084462,571,18,10583,300,1362,229,527,0,1230,1484,51,14577,0,21181,0
N/A Precipitation,2,2924,2.0,41.18381999280589,-93.94335020397695,1.9752691517933783,23.94709180098108,12.2317880794702,81.25287769784173,28.324,4.846602608098833,15.525747209218581,0.008169889502762432,4.153214774281806,1598.422309621523,8,0,81,10,204,4,12,0,13,48,0,143,0,981,0
Smoke,2,10439,2.0,38.48541285031812,-118.39940705023388,0.5278472075981034,74.30726766513055,74.9267776777678,44.88058410990489,29.379086119360096,6.637166586653866,6.088783058060593,2.281368821292776E-5,4.149726985343424,275.9615145128844,167,1,1027,20,828,15,131,1,229,341,6,1105,0,3923,0
Snow,2,127840,2.0,42.24379103532245,-92.35805207734266,1.5430364360999453,24.383894223226342,14.979024084173945,85.7772556907918,28.417912164489938,2.6547620280170054,10.693856896344155,0.011740798105695097,3.98125,167.47403055903223,857,12,7371,357,9417,179,497,3,1566,2201,24,10502,0,51403,0
,4,7429,4.0,37.683503979994704,-88.4727256296533,1.6015973885001507,57.76507374631268,52.694701986754964,65.67694131594547,29.529579563597654,9.526574803149606,7.740579710144928,0.01628262826282628,4.058688921792974,1697.4839278503166,56,2,363,61,631,11,42,0,107,251,6,710,0,2229,0
Clear,2,2794376,2.0,35.68052606039583,-97.70019910711578,0.5598917597435041,63.36972251669457,61.77019096302707,55.90641885173359,29.514181547736445,9.843214126827336,6.771892764100086,4.7803874639633327E-4,4.106232303741515,502.9635043983491,34776,1621,335724,12493,182517,7622,23734,100,76966,96743,3064,430504,0,1202357,0
Ice Pellets,2,199,2.0,38.540636869346734,-80.128327879397,0.3303065326842831,32.58994974874373,23.825654450261773,84.18090452261306,30.059949494949496,3.9658291457286436,11.73089005235602,0.03820809248554913,3.979899497487437,106.54095477386933,2,0,32,4,28,1,3,0,3,11,1,33,0,104,0
Cloudy,3,601967,3.0,36.72073628833645,-92.21638143744593,0.39782455185075605,62.96411457665171,57.41775673815889,67.01652710665586,29.710539481189436,9.643483199928093,8.770295200283575,0.003405950824546865,4.07424659491301,72.62887661062231,2133,180,25253,2612,62538,1004,3819,1,5986,3720,420,45568,0,282686,0
Cloudy,2,2452609,2.0,36.01903965530721,-92.41435648924528,0.49699721277077813,62.41685748973919,59.435747028827734,68.06757578784317,29.577098234123916,9.55515320220402,8.21738227625551,0.001946845175892298,4.085235763221941,484.52168418066526,43079,1192,367691,13644,165560,7301,24625,107,85448,76918,2775,457870,0,1093491,0
Clear,3,488482,3.0,36.283047729746464,-97.19096296848802,0.4040381754759052,64.21251973716663,61.136981868156184,55.8230513133907,29.6848437842815,9.882860696976973,7.431405217676067,0.0013769596423204946,4.093211213514521,78.3467722113267,1348,101,16525,1333,49446,587,3220,3,4614,2846,334,31524,0,221907,0
Rain,2,369327,2.0,36.68246361714249,-92.71543732532442,0.5603595349986212,57.3001209538228,55.122254841932254,88.30876781452437,29.5246612751103,6.07126556157244,8.789773897320417,0.051465082610873174,4.043530529855657,448.3495679528794,5312,179,42425,1795,29017,984,3228,11,9751,9564,373,55838,0,160403,0
Smoke,3,1892,3.0,38.01806629069767,-116.05585238900632,0.29025581353689384,72.15435244161358,73.41375838926176,46.41870350690755,29.473514799154334,6.775583864118896,6.742330917874396,1.0752688172043012E-5,4.269556025369979,94.77457716701903,6,2,69,2,211,2,28,0,33,13,2,97,0,738,0
Drizzle,4,1028,4.0,38.220996360227595,-84.24494053129135,1.2287295711071078,53.03166666666666,50.27218045112782,91.48137254901961,29.527409931840307,6.067461089494163,7.245560253699788,0.006441947565543072,4.0457198443579765,824.0945201037613,7,0,51,5,95,3,11,0,28,22,2,113,0,337,0
Thunderstorm,3,16791,3.0,34.257944994282646,-86.51079080477633,0.5198652245233684,73.42610698898996,72.93717693836977,82.38510434156872,29.523401109057303,6.605649311789348,9.786784816336537,0.14142238219022868,4.063605502948008,83.09216743096498,34,1,462,60,1362,21,44,0,69,61,3,1061,0,7358,0
Drizzle,2,21096,2.0,37.29193115917548,-87.32368250643445,0.49944567676124246,53.15513364143124,50.126421481438975,90.47344773194398,29.50479271416374,5.401640714014432,7.543092187266292,0.005137217140105913,3.9839306029579067,242.10151055492366,348,9,2820,147,1505,69,169,1,492,669,17,3752,0,10397,0
Dust/Sand,3,92,3.0,34.81993019565218,-105.84149654347823,0.15709782656638516,71.46813186813188,71.67878787878789,31.032967032967033,28.61455555555555,8.162087912087912,23.272222222222222,0.0,4.5,70.24202898550725,0,0,6,0,7,0,2,0,0,1,0,11,0,43,0
Drizzle,3,5839,3.0,37.423406324713135,-87.31725855437577,0.4351685224021159,53.433746130030976,48.885207547169806,91.56759083864301,29.668142245072833,4.95753084304318,8.227523791752194,0.010846186803770357,3.9499914368898783,67.75421590454987,21,0,181,14,543,7,29,0,56,30,2,345,0,2834,0
Hail,2,95,2.0,40.45929351558896,-93.58515184330425,1.0938947367856378,42.283157894736846,38.06111111111111,83.07368421052631,29.769473684210524,5.131720430107527,7.166315789473685,0.01602150537634409,3.9263157894736844,124.57245614035085,1,0,1,0,6,1,0,0,2,0,0,5,0,54,0
,2,134779,2.0,36.986820993264715,-95.46601557562323,0.7526969483516721,59.0272621629997,55.70010547781451,63.52041888893214,29.39643543820373,9.504780036968576,7.300994518845003,0.017382029183377414,3.9981302725202,411.8722732522623,1701,58,11330,678,9531,254,1323,5,3169,4526,117,16793,0,51345,0
Snow,1,121,1.0,40.31096033884297,-96.13685788429751,0.13458677745062458,27.667768595041323,18.761983471074384,86.99173553719008,26.391074380165286,2.377107438016529,10.45206611570248,0.009500000000000001,4.256198347107438,40.397382920110196,0,0,26,0,6,0,1,0,0,2,0,37,0,69,0
Thunderstorm,2,68954,2.0,32.433214239293676,-85.57569734840564,0.7202047452272516,75.57799376783738,75.48518064410659,79.40417274584185,29.58256342448634,7.166232791900359,9.837310614442723,0.1045948412215598,4.139455289033268,995.0298293064936,815,22,9698,279,3867,204,480,2,2892,1756,76,9964,0,30714,0
Rain,3,98698,3.0,37.23132123615472,-90.73276028578088,0.4515845611023337,58.149771043633976,54.71722864878167,89.26010369039844,29.639555677287806,5.839916998975168,9.22680593685654,0.06349675748631144,4.015177612514945,73.28405117969298,310,11,3170,274,9947,139,520,0,800,562,54,5709,0,41605,0
Sleet,3,1201,3.0,40.18214817235637,-85.47939299333888,0.942898417557209,30.917735220649455,22.621000000000002,88.3775,29.15321934945789,4.049316096747289,11.103416666666668,0.024236577181208065,4.094920899250624,69.03823202886487,6,0,30,4,84,2,3,0,4,4,0,49,0,465,0
Thunderstorm,4,1832,4.0,35.20266210942475,-85.84852593973078,1.6943171372718164,72.6954219525648,72.24880794701987,80.05423353624792,29.2117698630137,7.216637362637362,9.30479375696767,0.09233050847457627,4.0534934497816595,2381.6435225618634,13,0,94,7,161,1,13,0,14,27,0,144,0,610,0
Cloudy,4,83051,4.0,37.94342612505025,-87.6269927954184,1.4324622343790547,58.870410531660255,54.32898962193028,69.94146347369185,29.483029670978855,9.576686445593852,8.23175034795608,0.0019654188390266195,4.0431180840688254,1560.7884179600492,933,14,6079,527,9007,169,688,1,1284,2136,37,8659,0,26807,0
Hail,3,15,3.0,41.44130953333333,-95.0039832,0.04399999968210856,33.96,24.075,86.26666666666667,29.895333333333326,4.75,9.142857142857142,0.0075,3.933333333333333,48.27777777777778,0,0,1,0,2,0,0,0,0,0,0,2,0,7,0
